"GermplasmId","MG","MG_factor","GermplasmId_name","Chlorosis","Height","Lodging","Maturity","Oil","Protein","SeedQuality","SeedSize","Shattering","YieldBuA"
"HS7W_194_MGII",2,"MGII","HS7W_194",NA,28.9467017495651,2.36830631024355,270.955899253653,15.7546833625469,38.6872440967363,1.14230870523012,15.8996176455182,2.19774414555332,46.7911679382019
"HS7W_29_MGII",2,"MGII","HS7W_29",NA,32.2652825079043,2.51917599367213,269.178121475876,16.6084991042649,36.8615381133645,1.58340619228175,16.1473714516298,4.19774414555331,52.317278136948
"HS7W_82_MGII",2,"MGII","HS7W_82",NA,27.469893586473,2.26596337418007,270.067010364764,16.3182764542412,37.1253254903053,1.83174581364253,17.2568278819073,2.19774414555332,50.6875563709083
"HS8_3317_MGIII",3,"MGIII","HS8_3317",NA,31.4275201993438,2.1924404357073,272.005979819476,16.8922473129949,37.6754705784535,1.07293590614276,16.2696206395586,2.19774414555332,51.6521925045308
"HS8_3362_MGIII",3,"MGIII","HS8_3362",NA,28.85393575721,2.27032150592324,270.209878771792,NA,NA,0.813871190438525,16.9709433834795,1.7591376202497,46.4188947427694
"HS8_3463_MGIII",3,"MGIII","HS8_3463",NA,31.1284823854209,2.84844855289776,276.883508920808,17.0072003999281,38.2398952605193,1.94061850954086,19.6802665472423,2.29124500026891,54.6260091746288
"HS8_3582_MGIII",3,"MGIII","HS8_3582",NA,30.5221406076802,2.15786018819144,271.205979819476,17.188522608242,37.7940277681904,1.07356843133865,16.720086018543,2.19774414555332,53.5289420939665
"HS8_3657_MGIII",3,"MGIII","HS8_3657",NA,31.7283019369535,2.39825978105587,275.584878771792,NA,NA,1.30248573691247,17.5613698729423,1.7591376202497,53.6172959387481
"HS8_3664_MGIII",3,"MGIII","HS8_3664",NA,32.7688535405263,2.51677300831098,275.334878771792,NA,NA,1.44597540496551,17.204758877496,2.7591376202497,52.8069051854467
"HS8_3672_MGIII",3,"MGIII","HS8_3672",NA,32.5295229286278,2.33650140216813,273.334878771792,NA,NA,1.16468879562246,15.8513390522287,2.7591376202497,55.0987791590361
"HS8W_106_MGII",2,"MGII","HS8W_106",NA,29.0430150856158,2.22271754370161,270.6697795679,16.9245624507202,37.5210044890041,1.49889199657887,17.1449318908228,0.95193115918853,52.7529825986743
"HS8W_177_MGIII",3,"MGIII","HS8W_177",NA,31.9444508118485,2.32671889862001,270.705979819476,15.8307666463734,37.9825422414234,1.3618128178365,15.5529648449886,2.19774414555332,49.5281605873638
"HS8W_3_MGIII",3,"MGIII","HS8W_3",NA,33.6299754072073,2.30472362284161,271.084878771792,NA,NA,1.38308592368148,15.3476532961131,1.7591376202497,52.9052623793241
"HS8W_30_MGII",2,"MGII","HS8W_30",NA,29.0322559022887,2.58244593755876,268.384065282185,16.185453050815,38.9658549812409,1.50405761901199,18.4659420946776,0.95193115918853,51.8151242827764
"HS8W_8_MGII",2,"MGII","HS8W_8",NA,32.4910959186118,2.63950795673561,271.62256592032,17.0894607125232,36.9760314736771,1.5156483265909,16.3539321904486,2.19774414555332,54.6522099470055
"HS8W_83_MGII",2,"MGII","HS8W_83",NA,30.6379320710072,2.3133940996642,267.511454809209,16.9340557293242,36.4145696710125,1.58755713887979,16.9338073115261,1.19774414555332,56.8146731149391
"HS91_4830_MGIV",4,"MGIV","HS91_4830",NA,30.5565655155914,2.41914477766657,275.310247969595,16.1288719595284,37.2023784458584,1.16347221683946,16.2589976333789,NA,41.5825284502715
"HS92_2689_MGIV",4,"MGIV","HS92_2689",NA,31.1552683685717,2.41113044987973,275.199100050707,16.6681930000214,38.2431220943934,1.13719631179059,15.4074844942934,2.18919761405911,46.0227272403917
"HS92_2690_MGIV",4,"MGIV","HS92_2690",NA,31.0302683685717,2.36113044987973,275.199100050707,16.8552294666565,38.4891719303145,1.14969631179059,15.5199844942934,2.18919761405911,46.152592798615
"HS92_2774_MGIV",4,"MGIV","HS92_2774",NA,37.8697857154456,2.51993137603151,275.574100050707,17.1771565333864,38.1710722584723,1.38636612247099,16.2880364258167,2.18919761405911,43.2550033662706
"HS93_4011_MGIV",4,"MGIV","HS93_4011",NA,28.2292483704349,2.10868378293862,278.799718026209,17.3600755201923,36.6528952088148,1.20622864125695,14.5248917628349,2.07399516835225,47.3458321781571
"HS93_4121_MGIV",4,"MGIV","HS93_4121",NA,28.8412285454363,2.17005415305086,278.371146597637,17.3687890535572,35.9065953728937,1.57860600047936,15.2174891874705,2.07399516835225,49.7541447807982
"IA4004_MGIV",4,"MGIV","IA4004",NA,30.484111592286,2.55212300542932,274.942126989962,16.9801344098473,37.4993295195673,1.37363122409122,17.2674380465328,2.33038417616911,55.5984620399342
"IA4005_MGIV",4,"MGIV","IA4005",NA,27.4584749777195,1.90416108938472,278.629740590746,17.2745547022572,36.8292491235472,0.985414040775241,15.5571444679885,2.49052233610968,57.0700844418798
"JTN_4109_MGIV",4,"MGIV","JTN_4109",NA,29.373136989871,2.28600377984087,283.364361727728,16.6590635350947,37.5405431088349,1.00414839418416,13.6014052529614,2.47285072407355,46.1700337883384
"JTN_4114_MGIV",4,"MGIV","JTN_4114",NA,31.3915033182619,2.39431775752163,279.056066536531,17.5114389920747,35.8277233781433,1.40026634127978,16.7557377817394,3.94283913630078,52.9256614074186
"JTN_4116_MGIV",4,"MGIV","JTN_4116",NA,35.2535571234004,2.3303126634288,278.238310752545,16.6665552175873,38.6904854167197,1.05865202711721,18.2405136997414,1.72315236822381,55.9727972026407
