"GermplasmId","MG","Chlorosis_Blues_Plus_intercept","GreenStem_Blues_Plus_intercept","Height_Blues_Plus_intercept","Lodging_Blues_Plus_intercept","Maturity_Blues_Plus_intercept","Oil_Blues_Plus_intercept","Protein_Blues_Plus_intercept","SDS_Blues_Plus_intercept","SeedQuality_Blues_Plus_intercept","SeedSize_Blues_Plus_intercept","Shattering_Blues_Plus_intercept","YieldBuA_Blues_Plus_intercept"
"U93_3204_MGIII",3,4.74545794034104,NA,30.2540136252254,2.60352367574362,277.610709787539,17.090639412518,37.4220839834638,NA,1.57811860466728,18.6519739568361,2.18947210400506,49.9221376585586
"U93_3228_MGIII",3,3.85736120819043,NA,29.2300582651203,2.35989926304553,274.02474773875,17.2891920605661,38.5328702348277,-11.4608655732768,1.10746970415843,17.4198224784799,2.13314196152912,47.3425484212258
"U93_3323_MGIII",3,4.04545794034104,NA,31.0363080442413,2.41558639162343,276.388487565317,17.2363712079994,36.6465587599347,NA,1.24749104099611,15.978362734511,2.18947210400506,47.8492110120213
"U93_3420_MGIII",3,4.34545794034104,NA,30.4597292609859,2.32450428166549,276.610709787539,17.612639412518,38.4443339834638,NA,1.11366574954239,15.5038256604026,2.18947210400506,49.4806522204827
"U93_3434_MGIII",3,4.24545794034104,NA,32.1113676725645,2.40023384414004,277.944043120872,17.0938985147773,39.3758465952284,NA,1.35515844526447,17.5825295679987,3.18947210400506,46.3470772490284
"U93_3716_MGIII",3,3.54545794034104,NA,30.7450211663077,2.48663950042821,275.944043120872,16.8405483899247,36.8722078658181,NA,2.02625273501468,16.055677363969,2.18947210400506,50.619661928432
"U93_3716_MGIV",4,4.66926447546208,NA,28.7491870193218,2.41706878895073,274.67025956285,17.7006686008322,35.9575557046516,-6.72944181738014,1.45875264761719,16.1260453685128,2.07681181905316,47.6409017797723
"U94_2132_MGII",2,3.50034788553928,NA,29.7019116223675,2.60768852387502,267.761691203626,17.192632589171,38.3582711603591,NA,1.26832763129594,16.0064906413959,2.07681181905316,49.6218504358187
"U94_2218_MGII",2,3.30034788553928,NA,28.2049091086734,2.35776102675794,268.317246759181,17.239618025556,38.9732509815358,NA,1.18931995821718,16.9665730283034,2.07681181905316,50.9697217953377
"U94_2229_MGII",2,2.50034788553928,NA,26.8925990030399,2.21550980338255,268.095024536959,17.3562034619411,38.2310308027125,NA,1.32314524967091,15.6447622957626,2.07681181905316,50.7593504358187
"U94_2234_MGII",2,3.50034788553928,NA,27.3685782890342,2.1854663016528,267.761691203625,16.978618025556,39.6866509815358,NA,1.21277207574039,17.2731573080626,2.07681181905316,48.9062933965402
"U94_2236_MGII",2,3.00034788553928,NA,27.7905211744051,2.25074634625328,265.650580092514,17.4641160802515,38.0407097297726,NA,0.995223455661903,16.9826220155917,3.07681181905316,52.3629511608693
"U94_2236_MGIII",3,3.7158250424611,NA,27.4599467939109,2.17585669389181,269.048513846292,17.151302025219,37.8942331191326,-19.7241666777651,1.34588810486145,16.6342066533424,3.12225212084352,47.7911487785716
"U94_2316_MGII",2,3.10034788553928,NA,32.2259323363733,2.43773202560477,268.095024536959,17.152618025556,38.5208509815358,NA,1.13425636078202,15.5892067402071,2.07681181905316,48.7468504358187
"U94_2329_MGII",2,4.10034788553928,NA,31.5577873383329,2.80520529127431,265.761691203625,16.9917087984441,37.991499640361,NA,1.75053303215726,16.9101940485288,3.07681181905316,48.4888795596668
"U94_2407_MGII",2,3.80034788553928,NA,28.0442782381771,2.16514728896798,265.317246759181,17.0517306438664,38.7655299085959,NA,1.21818361506472,15.0776836945583,3.07681181905316,48.4400798013503
"U94_2429_MGII",2,2.80034788553928,NA,25.2724954330111,2.17640340584492,266.428357870292,17.0525816165187,39.3362005344775,NA,1.16016826890719,15.1867373572622,2.07681181905316,51.8117509191858
"U94_2429_MGIII",3,4.1658250424611,NA,24.9286518189294,2.05428461521756,269.101145425239,16.5172929229597,38.528720507368,-21.7241666777651,1.29588810486145,14.7564288755647,2.12225212084352,45.3738998187091
"U94_2529_MGII",2,3.10034788553928,NA,26.9121438993661,2.20739851234336,265.539468981403,16.8829452074814,38.0461500874192,NA,1.05102499027766,15.5328277604324,2.07681181905316,53.2056368406288
"U94_2529_MGIII",3,3.1658250424611,NA,27.5474326714133,2.10054545513788,268.68009279366,16.500997411663,38.1341574485452,-9.72416667776511,1.14687202110224,15.2128074104831,2.12225212084352,49.4268630642859
"U94_2612_MGII",2,3.60034788553928,NA,30.694438318382,2.51946122822317,264.317246759181,16.9168942348291,37.7190794615377,NA,1.22039742660649,17.3406465092358,3.07681181905316,47.8339657227934
"U94_2614_MGII",2,4.30034788553928,NA,26.5367641106331,2.30301207020525,265.983913425848,17.5067379256739,38.8321399980076,NA,1.10559662959242,17.9875603366251,2.07681181905316,49.8983225203883
"U94_2623_MGII",2,3.00034788553928,NA,31.8400409337903,2.31002675070991,268.650580092514,17.0116617164008,38.6073115180057,NA,1.21080424325882,15.7715113493368,2.07681181905316,51.2602788346162
"U94_2629_MGII",2,4.00034788553928,NA,30.3881231853603,2.25513278839139,265.20613564807,16.9247160802515,38.7889097297726,NA,1.49620737190269,17.4167783282879,4.07681181905316,51.3379511608693
"U94_2629_MGIII",3,4.2658250424611,NA,29.7743357431359,2.20293662978927,266.837987530502,16.4749245935884,38.6208065544286,-16.7241666777651,1.66204178670659,17.0412022003549,3.12225212084352,49.0998186792877
"U94_3113_MGIII",3,3.50034788553928,NA,31.1580510324366,2.51228341390538,273.63054908345,16.9246091332494,36.7065342522487,NA,1.1902569993739,15.2221192477703,2.07681181905316,48.3025977071122
"U94_3126_MGIII",3,3.30034788553928,NA,29.8727591271148,2.82792597292043,274.297215750117,16.8604228490648,37.3546225346007,NA,1.37767001390161,15.5327675442039,2.07681181905316,45.5635879991629
"U94_3403_MGIII",3,4.50034788553928,NA,28.5664439940931,2.31915308864421,275.186104639006,16.6896819513241,36.7418851463652,NA,1.18681329253115,15.3503602294748,3.07681181905316,46.2004639441193
"U94_3410_MGIII",3,3.10034788553928,NA,30.8352293129532,2.43560224666213,273.519437972339,17.1790909287308,36.5617590287196,NA,1.17939186732299,17.1036007107161,4.07681181905316,48.8202104362149
"U94_3412_MGIII",3,3.40164653829018,NA,29.7420670987093,2.30897128654501,272.386602472608,16.8119514164694,37.6811811190771,-16.7241666777651,1.22408888362262,15.4693820451475,2.17612399727618,50.4771422709491
"U94_3433_MGIII",3,3.50034788553497,NA,30.800656161539,2.2527764335092,277.408326861228,16.7059774626207,37.2451982051881,NA,1.33744926688277,15.859156822342,2.07681181905316,48.9815426953992
"U94_3505_MGIII",3,3.80034788553497,NA,29.1535343911985,2.41133180913668,274.852771305672,16.7234046445461,36.3180973110715,NA,1.09866234082285,14.076286081258,2.07681181905316,43.0755243536495
"U94_3518_MGIII",3,3.57733265627265,NA,30.067058385796,2.20436497945216,270.62845374395,16.5866600679375,37.9606956268678,-10.7241666777651,1.394093062719,16.3918834744305,2.09953196994834,49.4619095034018
"U94_3526_MGIII",3,4.30034788553496,NA,29.7105682781277,2.31052521013381,277.186104639006,16.2742365648801,37.6982108169526,NA,1.23794122500317,15.8406382852878,2.07681181905316,48.6167681536045
"U94_3530_MGIII",3,3.50034788553497,NA,31.4988576697555,2.58939959844612,277.074993527895,17.1474956671394,37.3029734287172,NA,1.34929831517447,16.5036012111794,2.07681181905316,46.2899364382627
"U94_3532_MGIII",3,3.80034788553497,NA,30.2180824056718,2.60599376222987,276.519437972339,16.6592183603614,37.2271855934235,NA,1.31719487714212,14.2420270629626,2.07681181905316,47.0335556393316
"U95_2113_MGII",2,3.41993242545796,NA,25.349879474174,1.88210094546157,263.769438576041,18.6962444906465,36.2194456138106,NA,1.56737876335196,16.1595958282707,2.12225212084352,48.2795213320824
"U95_2114_MGII",2,3.21993242545795,NA,31.0836563069194,3.04519229909405,264.469438576041,17.0467027451062,37.6919263291039,NA,1.25582909527272,16.957949869545,3.12225212084352,49.0562322283637
"U95_2135_MGII",2,3.21993242545795,NA,29.791786261148,2.6469051876777,262.269438576041,16.8683935179942,37.8759749879291,NA,1.42069948066461,17.7402540338185,2.12225212084352,47.1353185257589
"U95_2219_MGII",2,4.19726030414144,NA,27.2032027151349,2.67346971025731,264.548021261835,17.2333996023882,38.5308430358285,NA,1.30589203389557,17.7695241050932,2.22578008638769,50.1570631161983
"U95_2233_MGII",2,3.71993242545795,NA,27.0877212840337,1.98604874338588,263.36943857604,17.7496736178763,37.8256859714573,NA,1.43826428796867,19.7439578858076,2.12225212084352,50.1526896167407
"U95_2236_MGII",2,3.41993242545796,NA,28.1255630938935,2.12999654131018,262.969438576041,17.4330153634166,38.075805256164,NA,1.30914981258537,16.9221471532668,2.12225212084352,47.4472548802456
"U95_2336_MGII",2,3.21993242545795,NA,25.0782608315688,1.8350617939048,263.469438576041,18.5274590542614,36.0742657926339,NA,1.38804290681449,16.8217356635854,2.12225212084352,48.3814134569544
"U95_2417_MGII",2,3.71993242545796,NA,30.6214981167791,2.48914009701835,264.069438576041,18.3212663360689,36.8542758820456,NA,1.30671461988943,16.1921061822411,2.12225212084352,45.6424037490051
"U95_2420_MGII",2,3.21993242545795,NA,26.3877212840337,1.81604874338588,263.369438576041,18.4900517724539,36.2164557032223,NA,1.45826428796867,16.9715299187446,2.12225212084352,49.9009183109291
"U95_2422_MGII",2,3.41993242545796,NA,25.6025772118493,1.9571661980562,264.269438576041,17.6800736178763,36.5554859714572,NA,1.51627185758107,15.9805835814486,2.12225212084352,49.2470132421246
"U95_2424_MGII",2,3.61993242545795,NA,25.3120376643142,1.75815314753727,264.169438576041,18.5422517724539,36.3730557032223,NA,1.53649323873525,16.4978674826374,2.12225212084352,49.3535148601162
