GermplasmId,Fill column,Flower,Pub_Lt_to_T,Pub_1
LD02-9050,x,P,T,T
LD03-10504,x,W,T,T
LD04-12754,x,P,T,T
LD04-13265,x,P,NA,NA
LD04-8782,x,W,T,Lt
LD05-1540,x,W,T,T
LD05-16413,x,P,G,G
LD05-16657,x,P,T,T
LD05-16874,x,P,T,T
LD06-2009,x,W,T,Lt
LD06-7609,x,W,T,T
LD06-7620,x,P,T,T
LD06-8970,x,W,G,G
LD07-3395bf,x,W,G,G
LD07-3419,x,W,G,G
LD07-3823,x,P,T,T
LD07-4477,x,P,G,G
LD07-4530,x,W,G,G
LD08-12428a,x,P,G,G
LD08-12435a,x,P,G,G
LD08-1592,x,P,G,G
LD08-2355,x,W,G,G
LD08-2370,x,P,G,G
LD08-2388,x,W,T,T
LD08-3243,x,P,G,G
LD08-4202,x,W,H,H
LD08-5579,x,W,G,G
LD08-6068a,x,P,G,G
LD08-6972,x,P,G,G
LD08-6982,x,P,G,G
LD08-8622,x,P,G,G
LD08-RST5-10,x,P,T,T
LD09-10220,x,P,G,G
LD09-16058,x,P,G,G
LD09-17071R2,x,P,G,G
LD09-17123R2,x,W,T,T
LD09-17140R2,x,P,T,T
LD09-17213R2,x,W,T,T
LD09-17220R2,x,P,T,T
LD09-30015,x,P,G,G
LD09-30208,x,P,G,G
LD09-30224,x,P,G,G
LD09-42,x,W,G,G
LD10-10150,x,P,G,G
LD10-10198,x,P,G,G
LD10-10213,x,P,G,G
LD10-10219,x,P,NA,NA
LD10-10226,x,P,G,G
LD10-11740,x,P,G,G
LD10-14323,x,P,G,G
LD10-2477,x,P,G,G
LD10-30004,x,W,T,T
LD10-30019,x,P,T,T
LD10-30036,x,W,T,T
LD10-5213a,x,P,G,G
LD10-5330a,x,P,G,G
LD10-5587a,x,W,T,Lt
LD10-5903a,x,P,G,G
LD10-776,x,W,T,Lt
LD10-9110,x,P,T,T
LD10-9168,x,P,T,T
LD10-9200,x,P,T,T
LD10-9409,x,P,T,Lt
LD10-9423,x,W,T,T
LD10-9483,x,H,H,H
LD10-9763,x,P,G,G
LD11-10069,x,W,NA,NA
LD11-11299,x,H,NA,NA
LD11-1249,x,P,T,T
LD11-13342Ra,x,W,T,T
LD11-13802R2,x,P,T,T
LD11-13814R,x,W,T,Lt
LD11-13834R,x,W,T,T
LD11-13948R,x,P,T,T
LD11-14102R,x,W,NA,NA
LD11-14160R,x,W,T,T
LD11-14283R,x,W,T,T
LD11-14287R,x,P,T,T
LD11-14335R,x,P,T,T
LD11-14362R,x,W,T,T
LD11-1882,x,W,G,G
LD11-2170,x,P,NA,NA
LD11-3619,x,W,T,Lt
LD11-643,x,P,G,G
LD11-7311,x,H,G,G
LD11-9790,x,P,NA,NA
LD12-10534,x,W,NA,NA
LD12-15064R1a,x,P,G,G
LD12-15129R1a,x,NA,NA,NA
LD12-15156R1a,x,P,NA,NA
LD12-15224R2a,x,P,T,T
LD12-15227R2a,x,P,T,T
LD12-15229R2a,x,P,T,T
LD12-15246R2a,x,P,G,G
LD12-15248R2a,x,P,T,T
LD12-15505R1,x,P,T,T
LD12-15609R2,x,P,NA,NA
LD12-15753R2,x,P,NA,NA
LD12-15808R1a,x,P,G,G
LD12-15811R1a,x,P,G,G
LD12-15840R1a,x,P,G,G
LD12-300,x,W,G,G
LD12-3866,x,H,G,G
LD13-13228R1a,x,P,G,G
LD13-13334R1a,x,NA,G,G
LD13-13478R1a,x,P,T,T
LD13-14071R2,x,P,G,G
LD13-14107R2,x,P,T,T
LD13-14327R2,x,W,G,G
LD13-14460R1,x,P,T,T
LD13-14525R2,x,NA,NA,NA
LD13-4902a,x,P,G,G
LD13-6692,x,W,G,G
LD13-759,x,W,T,T
LD13-767,x,W,T,T
LD14-1167,x,H,T,Lt
LD14-1429,x,P,T,Lt
LD14-2880,x,W,T,Lt
LD14-3090,x,W,G,G
LD14-3216,x,H,T,Lt
LD14-3218,x,P,T,Lt
LD14-3340,x,P,T,Lt
LD14-3702,x,P,T,T
LD14-4098a,x,P,T,T
LD14-4763a,x,P,G,G
LD14-6099a,x,P,G,G
LD14-6103a,x,P,G,G
LD14-6363,x,P,G,G
LD14-6766,x,P,T,Lt
LD14-6796,x,P,G,G
LG00-6293,x,P,T,T
LG00-6304,x,P,T,T
LG00-8298,x,W,T,T
LG01-2617,x,P,T,T
LG01-4067,x,P,T,T
LG01-4178,x,P,G,G
LG01-4541,x,P,G,G
LG01-4758,x,W,T,T
LG01-4762,x,W,T,T
LG01-4918,x,W,T,T
LG03-1099,x,H,G,G
LG03-1773,x,P,T,T
LG03-2561,x,W,G,G
LG03-2766,x,P,G,G
LG03-2866,x,W,G,G
LG03-2894,x,P,G,G
LG03-3191,x,P,T,T
LG03-3755,x,W,G,G
LG03-3780,x,P,T,T
LG03-3853,x,W,T,T
LG03-3859,x,W,T,T
LG03-3867,x,W,T,Lt
LG04-3292,x,W,G,G
LG04-3577,x,P,G,G
LG04-3642,x,P,T,T
LG04-3763,x,W,T,T
LG04-3765,x,W,T,T
LG04-4468,x,W,T,T
LG04-4696,x,W,T,Lt
LG04-4717,x,P,G,G
LG04-5196,x,W,T,T
LG04-5286,x,P,T,T
LG04-5372,x,W,G,G
LG04-5377,x,W,T,T
LG04-5389,x,P,G,G
LG04-5988,x,W,H,H
LG04-5993,x,W,T,Lt
LG04-6000,x,W,T,Lt
LG04-6005,x,W,T,Lt
LG04-6449,x,P,T,T
LG05-2356,x,H,G,G
LG05-4010,x,W,T,T
LG05-4092,x,P,T,T
LG05-4126,x,P,T,T
LG05-4292,x,P,G,G
LG05-4317,x,W,T,T
LG05-4354,x,P,T,T
LG05-4464,x,P,G,G
LG05-4832,x,W,T,Lt
LG06-2219,x,P,T,T
LG06-2340,x,W,G,G
LG06-2354,x,W,G,G
LG06-2697,x,H,T,T
LG06-2855,x,W,T,T
LG06-2866,x,W,T,T
LG06-5798,x,P,T,Lt
LG06-6094,x,P,T,T
LG07-2309,x,P,G,G
LG07-6843,x,W,T,T
LG07-6848,x,H,T,T
LG07-6950,x,P,T,T
LG07-6953,x,P,T,T
LG07-8914,x,W,T,Lt
LG07-9814,x,W,T,T
LG08-1643,x,P,T,T
LG08-3007,x,H,G,G
LG08-3009,x,W,G,G
LG08-3607,x,W,T,T
LG08-3838,x,P,G,G
LG08-4227,x,P,T,T
LG08-4955,x,P,T,T
LG09-5636,x,W,T,T
LG09-5856,x,W,G,G
LG09-5857,x,P,G,G
LG09-5875,x,P,T,T
LG09-7157,x,P,G,G
LG09-7163,x,P,G,G
LG09-7167,x,P,NA,NA
LG09-7193,x,P,G,G
LG09-7250,x,W,NA,NA
LG09-7356,x,P,G,G
LG09-7431,x,P,G,G
LG09-7464,x,W,G,G
LG09-7477,x,W,G,G
LG09-7547,x,W,T,T
LG09-7739,x,P,G,G
LG09-7823,x,P,T,T
LG09-8078,x,P,T,T
LG09-8165,x,P,G,G
LG09-8166,x,P,G,G
LG09-8515,x,P,T,T
LG09-8519,x,P,T,T
LG09-8526,x,P,T,T
LG09-8542,x,P,T,T
LG09-8545,x,P,T,T
LG09-8556,x,P,T,Lt
LG09-8595,x,W,T,T
LG09-8615,x,W,T,T
LG09-8656,x,W,T,T
LG09-8702,x,P,T,T
LG10-2688,x,W,T,Lt
LG10-2695,x,W,G,G
LG10-2699,x,W,T,Lt
LG10-2983,x,P,G,G
LG10-3045,x,W,T,Lt
LG10-3250,x,P,T,T
LG10-3251,x,P,T,T
LG10-3278,x,P,T,T
LG10-3369,x,W,G,G
LG10-3409,x,W,T,T
LG10-3413,x,P,T,T
LG10-3432,x,P,T,T
LG10-3987,x,P,T,T
LG11-5120,x,W,T,T
LG11-6190,x,P,T,T
LG11-6205,x,P,T,T
LG11-6208,x,W,T,T
LG11-6210,x,W,T,T
LG11-6212,x,P,T,T
LG11-6214,x,P,T,T
LG11-6215,x,W,T,T
LG11-6759,x,P,NA,NA
LG11-6760,x,P,NA,NA
LG11-6761,x,NA,NA,NA
LG11-7662,x,W,G,G
LG11-7722,x,P,T,T
LG11-7727,x,W,T,T
LG11-7880,x,W,T,T
LG12-1023,x,W,T,T
LG12-2087,x,W,T,T
LG12-2096,x,P,T,T
LG12-2177,x,W,T,T
LG12-3475,x,W,NA,NA
LG12-3478,x,W,NA,NA
LG12-3738,x,W,T,T
LG12-3771,x,W,T,T
LG12-3913,x,P,T,T
LG12-3935,x,W,T,T
LG12-4045,x,P,T,T
LG12-4068,x,W,NA,NA
LG12-4072,x,NA,NA,NA
LG12-4073,x,W,G,G
LG13-1006,x,W,T,T
LG13-1107,x,W,T,T
LG13-1257,x,P,T,T
LG13-1952,x,P,G,G
LG13-2240,x,W,T,T
LG13-3576,x,W,T,T
LG13-3578,x,W,T,T
LG13-3594,x,P,G,G
LG13-3614,x,W,G,G
LG13-3622,x,W,G,G
LG13-3729,x,W,G,G
LG13-3844,x,W,T,T
LG13-3861,x,W,T,T
LG13-3895,x,W,G,G
LG13-3925,x,NA,NA,NA
LG13-3971,x,W,G,G
LG13-3975,x,P,G,G
LG13-3981,x,NA,NA,NA
LG13-3992,x,P,T,T
LG13-3993,x,NA,T,T
LG13-4001,x,W,T,T
LG13-4025,x,W,T,T
LG13-4038,x,P,T,T
LG13-4053,x,W,T,T
LG14-6165,x,W,NA,NA
LG14-6166,x,W,G,G
LG14-6169,x,W,G,G
LG14-6201,x,W,T,T
LG14-7959,x,P,NA,NA
LG14-7965,x,P,G,G
LG14-8024,x,W,T,T
LG15-2049,x,W,T,T
LG15-2136,x,W,T,T
LG15-2214,x,W,T,T
LG15-2243,x,W,T,T
LG15-2775,x,P,T,T
LG15-4418,x,W,G,G
LG15-4486,x,P,G,G
LN97-15076,x,W,T,T
LS08-4637,x,W,T,T
LS08-4941,x,P,G,G
LS08-5515,x,W,T,T
LS08-6034,x,P,G,G
LS09-1530,x,H,H,H
LS09-2340,x,H,T,T
LS09-2342,x,W,T,T
LS09-2659,x,P,G,G
LS09-2722,x,P,G,G
M00-110014,x,W,G,G
M00-110060,x,W,G,G
M00-307023,x,P,G,G
M00-307055,x,P,G,G
M00-311054,x,P,T,T
M00-326044,x,P,H,H
M00-326087,x,NA,NA,NA
M00-327021,x,P,G,G
M00-335031,x,W,G,G
M00-336023,x,P,G,G
M00-340068,x,P,T,T
M00-378032,x,P,T,T
M00-400054,x,P,G,G
M00-500071,x,P,G,G
M00-522014,x,H,G,G
M00-522016,x,H,G,G
M00-524048,x,P,G,G
M00-528090,x,NA,NA,NA
M00-529011,x,P,T,T
M00-530008,x,P,G,G
M00-530039,x,P,NA,NA
M00-530118,x,W,G,G
M00-537061,x,P,G,G
M01-213045,x,W,G,G
M01-221039,x,P,T,T
M01-241048,x,W,G,G
M01-242025,x,P,G,G
M01-242042,x,P,G,G
M01-257028,x,P,T,T
M01-258100,x,P,G,G
M01-269046,x,P,T,T
M01-269047,x,P,T,T
M01-278013,x,P,G,G
M01-318027,x,H,T,T
M01-318034,x,W,T,T
M01-318104,x,H,G,G
M01-321123,x,W,G,G
M01-321154,x,P,G,G
M01-322056,x,P,G,G
M01-322091,x,H,G,G
M01-322148,x,W,G,G
M02-113076,x,P,G,G
M02-115031,x,W,G,G
M02-141020,x,P,G,G
M02-314039,x,P,G,G
M02-314095,x,P,T,T
M02-317003,x,P,NA,NA
M02-317006,x,P,G,G
M02-324024,x,P,G,G
M02-328023,x,P,T,T
M02-328139,x,P,G,G
M02-330105,x,P,G,G
M02-330112,x,P,G,G
M02-333013,x,P,G,G
M02-333069,x,P,G,G
M02-385041,x,P,T,T
M02-385091,x,H,T,T
M02-399012,x,W,T,T
M02-495076,x,W,T,T
M02-733007,x,P,T,T
M03-143100,x,P,G,G
M03-147-1022,x,P,T,T
M03-149087,x,W,G,G
M03-149100,x,P,T,T
M03-158071,x,NA,T,T
M03-160082,x,P,G,G
M03-163106,x,W,G,G
M03-165068,x,W,G,G
M03-172059,x,W,G,G
M03-189083,x,P,G,G
M03-192010,x,P,G,G
M03-193054,x,P,G,G
M03-229084,x,P,G,G
M04-229039,x,P,T,T
M04-242040,x,P,G,G
M04-254003,x,P,G,G
M04-261037,x,P,G,G
M04-267028,x,P,G,G
M04-338008,x,P,T,T
M04-340048,x,P,T,T
M04-342124,x,P,T,T
M04-380030,x,P,T,T
M04-380101,x,P,T,T
M04-380106,x,P,T,T
M04-389079,x,P,G,G
M05-182007,x,P,NA,NA
M05-214049,x,W,G,G
M05-226053,x,W,G,G
M05-242024,x,W,G,G
M05-243040,x,P,G,G
M05-248041,x,W,T,T
M05-286085,x,W,G,G
M05-307064,x,P,T,T
M05-319032,x,P,T,T
M05-328025,x,W,G,G
M05-350061,x,W,NA,NA
M05-353148,x,P,G,G
M05-363022,x,H,G,G
M05-363031,x,W,G,G
M05-364040,x,P,T,T
M05R-615082,x,P,T,T
M06-235003,x,W,G,G
M06-235009,x,W,T,T
M06-247018,x,P,T,T
M06-274009,x,P,T,T
M06-274098,x,P,T,T
M06-289001,x,W,T,T
M06-294048,x,P,G,G
M06-296023,x,P,T,T
M06-310036,x,P,G,G
M06-310039,x,P,G,G
M06-320039,x,P,T,T
M06-337010,x,W,G,G
M06-337011,x,W,G,G
M06-337041,x,P,G,G
M06-338016,x,NA,G,G
M06-353010,x,H,G,G
M06-355049,x,W,T,T
M06-356031,x,P,G,G
M06-358171,x,H,H,H
M06-358188,x,P,G,G
M06-361002,x,P,H,H
M06-361006,x,H,G,G
M06-378172,x,P,T,T
M06-380029,x,P,G,G
M06-381085,x,NA,G,G
M06R-150044,x,P,G,G
M06R-152009,x,P,G,G
M06R-613036,x,P,T,T
M06R-614008,x,W,T,T
M06R-614016,x,H,T,T
M06R-619017,x,P,G,G
M06R-621-1007,x,H,G,G
M06R-621-1014,x,P,G,G
M06R-621-7020,x,P,G,G
M07-209037,x,W,G,G
M07-260009,x,H,G,G
M07-260028,x,H,G,G
M07-266078,x,P,T,T
M07-267006,x,W,G,G
M07-276085,x,P,G,G
M07-278122,x,NA,G,G
M07-278126,x,H,G,G
M07-340035,x,P,G,G
M07-340083,x,P,H,H
M07-352123,x,P,G,G
M07-352133,x,P,T,T
M07-354108,x,P,T,T
M07-355016,x,H,G,G
M07-392055,x,P,T,T
M07-396047,x,P,T,T
M07-396099,x,P,G,G
M07-396100,x,P,T,T
M07-396118,x,P,T,T
M07-404023,x,W,G,G
M08-144017,x,W,G,G
M08-144031,x,NA,NA,NA
M08-144103,x,NA,NA,NA
M08-144119,x,P,NA,NA
M08-154007,x,NA,NA,NA
M08-154093,x,P,T,T
M08-212028,x,P,T,T
M08-212033,x,P,T,T
M08-218002,x,P,H,H
M08-218089,x,P,T,T
M08-221060,x,P,H,H
M08-224032,x,P,G,G
M08-224101,x,P,G,G
M08-225081,x,P,G,G
M08-231043,x,P,G,G
M08-271196,x,NA,NA,NA
M08-271308,x,P,T,T
M08-271313,x,P,T,T
M08-271319,x,P,T,T
M08-337014,x,P,G,G
M08-354011,x,W,T,T
M08-359053,x,NA,NA,NA
M08-362045,x,W,NA,NA
M08-365100,x,P,G,G
M08-391087,x,P,G,G
M08-434013,x,P,G,G
M08-434024,x,P,NA,NA
M08-608002,x,P,H,H
M08-608014,x,W,H,H
M08-608027,x,H,H,H
M08-608033,x,H,H,H
M08-608051,x,W,G,G
M08-609011,x,W,H,H
M09-159052,x,P,G,G
M09-169049,x,W,G,G
M09-223022,x,NA,T,T
M09-226039,x,H,G,G
M09-240005,x,W,G,G
M09-240029,x,W,T,T
M09-240047,x,P,G,G
M09-240061,x,W,G,G
M09-241044,x,H,H,H
M09-242072,x,P,G,G
M09-248030,x,H,G,G
M09-251028,x,P,G,G
M09-251081,x,P,G,G
M09-251100,x,P,G,G
M09-251149,x,P,G,G
M09-252032,x,P,G,G
M09-252048,x,H,H,H
M09-252049,x,H,G,G
M09-252085,x,W,H,H
M09-261065,x,W,T,T
M09-261067,x,H,T,T
M09-261079,x,H,H,H
M09-261084,x,W,G,G
M09-261089,x,P,T,T
M09-262111,x,W,G,G
M09-263090,x,W,G,G
M09-263119,x,H,G,G
M09-264062,x,P,G,G
M09-269045,x,P,NA,NA
M09-274025,x,P,G,G
M09-278026,x,H,G,G
M09-278096,x,P,T,T
M09-278097,x,P,T,T
M09-281098,x,W,T,T
M09-285032,x,P,G,G
M09-285149,x,P,G,G
M09-305001,x,P,T,T
M09-305042,x,P,T,T
M09-305119,x,H,T,T
M09-305139,x,W,T,T
M09-305144,x,NA,T,T
M09-319035,x,P,T,T
M09-335008,x,H,G,G
M09-335025,x,H,G,G
M09-340038,x,H,G,G
M09-340043,x,H,H,H
M09-340060,x,NA,NA,NA
M09-340063,x,W,T,T
M09-340080,x,P,G,G
M09-340084,x,W,T,T
M09-341061,x,P,T,T
M09-343023,x,H,T,T
M09-343025,x,NA,NA,NA
M09-519014,x,P,G,G
M09-525015,x,P,T,T
M09-525033,x,P,G,G
M09-525037,x,P,G,G
M09-876012,x,NA,G,G
M09-876026,x,W,T,T
M09-876048,x,NA,NA,NA
M09-876062,x,P,G,G
M09-877004,x,NA,G,G
M09-877021,x,P,G,G
M09-877022,x,W,G,G
M09-877026,x,P,G,G
M09-878011,x,NA,NA,NA
M09-878072,x,NA,G,G
M09-878087,x,NA,G,G
M09-956021,x,NA,G,G
M09-956047,x,NA,NA,NA
M09-956063,x,NA,NA,NA
M09-957021,x,H,H,H
M09-957029,x,H,H,H
M09-957051,x,NA,NA,NA
M09-957052,x,H,H,H
M09-957075,x,H,G,G
M10-171020,x,P,NA,NA
M10-186021,x,P,G,G
M10-198005,x,W,G,G
M10-198059,x,P,G,G
M10-200119,x,W,G,G
M10-201034,x,W,T,T
M10-207102,x,P,NA,NA
M10-207126,x,W,G,G
M10-218053,x,P,T,T
M10-218069,x,W,T,T
M10-249014,x,P,G,G
M10-249028,x,W,G,G
M10-254090,x,P,G,G
M10-268096,x,W,T,T
M10-270004,x,W,G,G
M10-274172,x,P,G,G
M11-115357,x,W,T,T
M11-120003,x,P,T,T
M11-120020,x,P,T,Lt
M11-120121,x,P,NA,NA
M11-123013,x,P,T,T
M11-123015,x,W,G,G
M11-123087,x,H,T,T
M11-124006,x,W,T,T
M11-124010,x,W,G,G
M11-130013,x,W,G,G
M11-130058,x,H,G,G
M11-131005,x,W,G,G
M11-131015,x,NA,G,G
M11-131022,x,W,G,G
M11-131044,x,NA,G,G
M11-131060,x,P,G,G
M11-131119,x,P,G,G
M11-132019,x,W,G,G
M11-132044,x,W,G,G
M11-238102,x,W,T,T
M11-241015,x,P,T,T
M11-244115,x,W,G,G
M11-244139,x,W,G,G
M11-245026,x,P,T,T
M11-253-4066,x,P,T,T
M11-268105,x,W,T,T
M11-271059,x,W,G,G
M11-271062,x,W,T,T
M11-271064,x,W,H,H
M11-278003,x,P,G,G
M11-279046,x,P,G,G
M11-298308,x,P,T,T
M11-337015,x,P,G,G
M11-377069,x,P,G,G
M11-377115,x,P,T,T
M97-130015,x,P,T,T
M97-357138,x,P,G,G
M98-108027,x,P,G,G
M98-133-20012,x,P,G,G
M98-211046,x,P,G,G
M98-211117,x,P,G,G
M98-212006,x,P,G,G
M98-227065,x,W,G,G
M98-237086,x,P,NA,NA
M98-238010,x,W,G,G
M98-239080,x,W,G,G
M98-240104,x,W,G,G
M98-259060,x,W,T,T
M98-267068,x,W,G,G
M98-270026,x,P,G,G
M98-331009,x,P,T,T
M98-332069,x,P,T,T
