GermplasmId,Fill column,Flower,Pub_Lt_to_T,Pub_1
U01-190318,x,W,G,G
U01-190319,x,W,G,G
U01-190324,x,P,G,G
U01-290680,x,W,G,G
U01-290681,x,W,T,T
U01-290820,x,W,G,G
U01-290931,x,W,G,G
U01-291048,x,P,G,G
U01-310412,x,P,H,H
U01-390127,x,H,G,G
U01-390157,x,W,G,G
U01-390159,x,W,G,G
U01-390224,x,W,G,G
U01-390274,x,H,H,H
U01-390489,x,W,G,G
U01-390495,x,W,G,G
U01-390496,x,W,G,G
U01-390504,x,P,G,G
U01-390511,x,W,G,G
U01-390517,x,W,G,G
U01-390553,x,W,G,G
U01-390637,x,W,G,G
U01-390701,x,P,G,G
U01-390783,x,H,T,T
U01-390784,x,P,H,H
U01-390787,x,NA,NA,NA
U01-390794,x,P,G,G
U02-100652,x,W,G,G
U02-140131,x,P,G,G
U02-140132,x,W,G,G
U02-200106,x,W,G,G
U02-200629,x,W,G,G
U02-204506,x,P,T,T
U02-205111,x,P,T,T
U02-205137,x,P,T,T
U02-210123,x,NA,NA,NA
U02-210423,x,P,T,Lt
U02-210455,x,W,T,Lt
U02-241130,x,W,G,G
U02-242017,x,P,G,G
U02-242055,x,W,T,T
U02-300455,x,P,H,H
U02-300463,x,P,NA,NA
U02-341439,x,W,T,T
U02-341563,x,P,T,Lt
U03-100612,x,P,T,T
U03-200238,x,P,G,G
U03-200317,x,P,T,Lt
U03-300134,x,P,T,T
U03-827101,x,W,T,T
U04-701201,x,P,T,T
U04-945062,x,P,T,T
U05-224017,x,P,T,T
U05-226055,x,W,T,T
U05-741026,x,P,T,T
U06-103459,x,W,G,G
U06-103715,x,W,G,G
U06-300984,x,W,T,Lt
U06-814223R,x,W,T,T
U07-135601R,x,P,G,G
U07-135636R,x,W,T,T
U07-200233,x,W,T,Lt
U07-200271,x,W,G,G
U07-236940R,x,P,T,T
U09-105007,x,P,NA,NA
U09-118017,x,NA,NA,NA
U09-133005,x,P,T,T
U09-133021,x,P,T,T
U09-202083,x,P,NA,NA
U09-210051,x,P,NA,NA
U09-211049,x,NA,T,T
U09-211070,x,P,G,G
U09-311114,x,NA,NA,NA
U09-312115,x,P,T,Lt
U09-316113,x,P,G,G
U09-317120,x,P,T,Lt
U11-343008,x,P,G,G
U11-346046,x,NA,NA,NA
U11-360009,x,P,G,G
U11-374036,x,P,T,T
U11-376008,x,P,H,H
U11-377007,x,W,NA,NA
U11-380035,x,P,G,G
U11-396029,x,P,T,T
U11-396034,x,P,NA,NA
U11-410122,x,W,T,Lt
U11-430085,x,P,NA,NA
U11-441098,x,W,G,G
U11-444079,x,H,G,G
U11-444083,x,NA,NA,NA
U11-448096,x,P,G,G
U11-449088,x,P,G,G
U11-468126,x,W,T,T
U11-494100,x,W,NA,NA
U11-607166R,x,P,G,G
