"GermplasmId_2","GermplasmId","MG","Year"
"LS89_1138","LS89_1138","MGIV",1993
"LS89_1223","LS89_1223","MGIV",1993
"LS89_1322","LS89_1322","MGIV",1993
"LS90_3204","LS90_3204","MGIV",1993
"M86_356","M86_356","MG0",1993
"M87_1569","M87_1569","MG0",1993
"M88_1","M88_1","MGI",1993
"M88_207","M88_207","MGI",1993
"M88_208","M88_208","MGI",1993
"M88_210","M88_210","MG0",1993
"M88_77","M88_77","MGI",1993
"M88_84","M88_84","MG0",1993
"M89_1006","M89_1006","MG0",1993
"M89_1023","M89_1023","MG0",1993
"M89_1074","M89_1074","MG0",1993
"M89_1612","M89_1612","MGI",1993
"M89_1635","M89_1635","MGI",1993
"M89_1641","M89_1641","MGI",1993
"M89_1644","M89_1644","MGI",1993
"M89_1678","M89_1678","MG0",1993
"M89_1743","M89_1743","MG0",1993
"M89_1815","M89_1815","MG0",1993
"M89_198","M89_198","MG0",1993
"M89_358","M89_358","MG0",1993
"M89_643","M89_643","MG0",1993
"M89_74","M89_74","MG0",1993
"M89_932","M89_932","MG0",1993
"Macon_MGIII","Macon","MGIII",1993
"MapleRidge","MapleRidge","MG00",1993
"Marcus","Marcus","MGI",1993
"Marcus95_MGI","Marcus95","MGI",1993
"McCall","McCall","MG00",1993
"Md88_5241","Md88_5241","MGIV",1993
"Md90_5213","Md90_5213","MGIV",1993
"Md90_5761","Md90_5761","MGIII",1993
"Md90_5762","Md90_5762","MGIV",1993
"ND86_22","ND86_22","MG0",1993
"ND88_597","ND88_597","MG0",1993
"ND88_599","ND88_599","MG0",1993
"ND88_709","ND88_709","MG0",1993
"ND88_800","ND88_800","MG0",1993
"ND89_1112","ND89_1112","MG00",1993
"ND89_512","ND89_512","MG00",1993
"ND89_892","ND89_892","MG00",1993
"ND89_937","ND89_937","MG00",1993
"ND89_980","ND89_980","MG00",1993
"ND89_986","ND89_986","MG00",1993
"ND89_997","ND89_997","MG00",1993
"Odell","Odell","MGIII",1993
"Ohio_FG2","Ohio_FG2","MGIII",1993
"Olympus","Olympus","MGII",1993
"ORC9002","ORC9002","MG0",1993
"ORC9006","ORC9006","MGI",1993
"ORC9108","ORC9108","MGII",1993
"ORC9201_MG0","ORC9201","MG0",1993
"ORC9203","ORC9203","MG0",1993
"ORC9208","ORC9208","MGII",1993
"OT90_7","OT90_7","MG00",1993
"OT91_3","OT91_3","MG0",1993
"OT92_1","OT92_1","MG0",1993
"OT92_14","OT92_14","MG00",1993
"OT92_15","OT92_15","MG00",1993
"OT92_2","OT92_2","MG0",1993
"OT92_4","OT92_4","MG0",1993
"OT92_8","OT92_8","MG00",1993
"OT92_9","OT92_9","MG00",1993
"Parker_MG0","Parker","MG0",1993
"Parker_MGI","Parker","MGI",1993
"Probst","Probst","MGIII",1993
"RCAT_Columbus","RCAT_Columbus","MGII",1993
"Resnik","Resnik","MGIII",1993
"Ripley","Ripley","MGIV",1993
"SL88_621","SL88_621","MG0",1993
"SL88_686N","SL88_686N","MG0",1993
"SL88_9529","SL88_9529","MGIII",1993
"SL89_1040","SL89_1040","MGIII",1993
"SL89_111","SL89_111","MG0",1993
"SL89_1268","SL89_1268","MGIII",1993
"SL89_1825","SL89_1825","MGIII",1993
"SL89_203","SL89_203","MGIII",1993
"SL89_314","SL89_314","MGIII",1993
"SL89_336","SL89_336","MGIII",1993
"SL89_3560","SL89_3560","MGIII",1993
"SL89_534","SL89_534","MGIII",1993
"SL89_556","SL89_556","MG0",1993
"SL89_595","SL89_595","MG0",1993
"SL89_850","SL89_850","MG0",1993
"SL90_343","SL90_343","MGIII",1993
"SL90_561","SL90_561","MG0",1993
"SL90_576","SL90_576","MG0",1993
"SL90_577","SL90_577","MG0",1993
"SL90_825","SL90_825","MGIV",1993
"SL91_0454M","SL91_0454M","MG0",1993
"SL91_1012M","SL91_1012M","MGII",1993
"SL91_1252N","SL91_1252N","MGII",1993
"SL91_1574M","SL91_1574M","MG0",1993
"SL91_1657N","SL91_1657N","MGII",1993
"SL91_1736M","SL91_1736M","MGII",1993
"SL91_2856N","SL91_2856N","MG0",1993
"SL91_3273N","SL91_3273N","MG0",1993
"SO89_24","SO89_24","MGIV",1993
"Spencer","Spencer","MGIV",1993
"Stressland","Stressland","MGIV",1993
"Sturdy_MGI","Sturdy","MGI",1993
"Sturdy_MGII","Sturdy","MGII",1993
"Thorne","Thorne","MGIII",1993
"U90_2310","U90_2310","MGIII",1993
"U91_2104","U91_2104","MGII",1993
"U91_2316","U91_2316","MGII",1993
"U91_2519","U91_2519","MGII",1993
"U91_2527","U91_2527","MGII",1993
"U91_2722","U91_2722","MGII",1993
"U91_3133","U91_3133","MGIII",1993
"U91_3212","U91_3212","MGIII",1993
"U91_3516","U91_3516","MGIII",1993
"U92_2212","U92_2212","MGII",1993
"U92_2219","U92_2219","MGII",1993
"U92_2227","U92_2227","MGII",1993
"U92_2232","U92_2232","MGII",1993
"U92_2233","U92_2233","MGII",1993
"U92_2234","U92_2234","MGII",1993
"U92_2309","U92_2309","MGII",1993
"U92_2310","U92_2310","MGII",1993
"U92_2420","U92_2420","MGII",1993
"U92_2426","U92_2426","MGII",1993
"U92_2523","U92_2523","MGII",1993
"U92_2606","U92_2606","MGII",1993
"U92_2607","U92_2607","MGII",1993
"U92_2634","U92_2634","MGII",1993
"U92_2636","U92_2636","MGII",1993
"U92_3135","U92_3135","MGIII",1993
"U92_3209","U92_3209","MGIII",1993
"U92_3229","U92_3229","MGIII",1993
"U92_3314","U92_3314","MGIII",1993
"U92_3319","U92_3319","MGIII",1993
"U92_3325","U92_3325","MGIII",1993
"U92_3326","U92_3326","MGIII",1993
"U92_3511","U92_3511","MGIII",1993
"U92_3602","U92_3602","MGIII",1993
"U92_3604","U92_3604","MGIII",1993
"Vertex","Vertex","MGII",1993
"A91_607023_MGII","A91_607023","MGII",1993
"A92_625002","A92_625002","MGI",1994
"A93_552019","A93_552019","MGII",1994
"A93_552024","A93_552024","MGII",1994
"A93_552027","A93_552027","MGII",1994
"A93_552028","A93_552028","MGII",1994
"A93_552032","A93_552032","MGII",1994
"A93_554027","A93_554027","MGII",1994
"A93_554028","A93_554028","MGII",1994
"A93_554040","A93_554040","MGII",1994
